slab,mol,nset,xtheta,ytheta,ztheta,0
slab3,molC,nset45,37.949128827538914,-24.213108603917647,58.48417077396829,416275.919930852
slab3,molC,nset46,166.90730037995428,60.215283301585316,83.52387934870586,416275.927338479
slab3,molC,nset47,35.15256838254078,-123.73631063444668,-57.47275584613685,416275.491233053
slab3,molC,nset48,167.3000077656215,4.056172931361516,149.73312436797409,416275.693921062
slab3,molC,nset49,113.28820309490976,-58.3629060129458,65.7771234548544,416275.761388671
slab3,molC,nset50,-88.84975671697286,-160.353949889353,101.14103552452605,416276.178618886
slab3,molC,nset51,48.93335556503138,6.35271783407336,-45.39413014167053,416275.602860095
slab3,molC,nset52,-118.06972970877075,87.44627014445405,-69.63840220147733,416275.65860928
slab3,molC,nset53,101.14650903562233,-61.133269272164654,-57.03930690868472,416275.901280164
slab3,molC,nset54,-146.86403529492725,99.90955091344097,107.78271752243535,416275.925903029
slab3,molC,nset55,34.96656562422476,91.74094702127371,-144.72400929178838,416275.727746436
slab3,molC,nset56,171.59271562511753,1.3851194682286803,-116.75308443475527,416275.365835291
slab3,molC,nset57,24.479207992926888,-30.51667942593926,59.86005781222184,416275.920463378
slab3,molC,nset58,-51.69566736498484,88.71123466233325,-89.08883164935348,416275.735720404
slab3,molC,nset59,151.43002069033815,-15.72075887434903,-38.02973073796815,416275.384107642
slab3,molC,nset60,123.22314460148988,112.73268862379916,-41.2140357712895,416275.705891524
slab3,molC,nset61,-48.17502614068289,36.232360381225334,-29.69470397031,416275.86641757
slab3,molC,nset62,-41.916232135568094,86.95937385879068,-127.96921277870021,416275.926497698
slab3,molC,nset63,-161.28425414553774,155.87003186097655,-0.5000942075758701,416275.677254127
slab3,molC,nset64,169.58352260562162,-168.41943404486074,13.184436319822993,416275.809823413
slab3,molC,nset65,107.23720008563441,114.08059166190549,-159.88172673538315,416275.673880966
slab3,molC,nset66,-168.73601315046335,13.80084918246115,-60.72612725402794,416275.382435388
slab3,molC,nset67,29.794440047670633,-54.20749098326948,-111.80834941868038,416275.778665937
slab3,molC,nset68,-45.75414361439303,-116.80117500298466,111.55416736931096,416275.918635714
slab3,molC,nset69,-129.0786330128689,15.208854060465626,-148.97064190447364,416275.971723573
slab3,molC,nset70,-154.5281238315796,43.34651852374057,-121.77171656316763,416275.86876822
slab3,molC,nset71,-87.71753265652376,142.16000505722786,-140.33634416754816,416275.711528229
slab3,molC,nset72,147.04974651456814,-7.506120020411345,-62.531787775760364,416275.381359148
slab3,molC,nset73,92.45485273434002,25.154339705693985,-63.84117522891698,416275.589639938
slab3,molC,nset74,-43.06849007298129,95.38886106148186,142.42809179850008,416275.72827108
slab3,molC,nset75,-24.42436733308014,-7.187787737948042,-127.06915493802053,416275.89711252
slab3,molC,nset76,154.87209103935663,-41.22676698689162,22.732695790086467,416275.761757177
slab3,molC,nset77,-101.68683821310934,4.9461338279269285,46.25046674718877,416275.909243948
slab3,molC,nset78,-160.2019495223853,74.4715412602977,-139.3163481952384,416275.869492939
slab3,molC,nset79,-44.96946356596493,-100.3619658296282,128.8739904626879,416275.918473722
slab3,molC,nset80,129.57495203191542,127.01987112723907,154.18879994271117,416275.958580036
slab3,molC,nset81,49.995841215000894,-67.21780392512825,164.80499040663182,416275.841160615
slab3,molC,nset82,-40.82935844469526,3.9180445870643723,-166.21001111708088,416275.896339741
slab3,molC,nset83,-46.99799896088052,-35.02861621817442,161.64490678446612,416275.778367359
slab3,molC,nset84,141.9215157356037,143.72984932331906,-88.10393792800758,416275.913294939
slab3,molC,nset85,-149.92884725611881,-84.01314556652957,117.5877676681493,416275.490178257
slab3,molC,nset86,-166.12392009443977,-88.45948742112236,76.25179840203418,416275.526495695
slab3,molC,nset87,161.54049164922162,-113.72341253095725,-179.49900458356308,416275.858997465
slab3,molC,nset88,75.53522107993248,-4.907701523601617,-82.42655593895608,416276.179485253
slab3,molC,nset89,-36.87419746758357,85.99204948292805,13.501985192055827,416275.731883698
slab3,molC,nset90,-93.33453278475669,-66.19085112635021,91.57792886028227,416275.82626765
slab3,molC,nset91,32.5594288786111,-169.83295541324637,55.936100546172895,416275.627346912
slab3,molC,nset92,129.18589715586296,15.54302444850353,119.0111563314286,416275.488285827
slab3,molC,nset93,157.6933368474867,173.66856158157793,-128.8353592961647,416275.78265876
slab3,molC,nset94,73.70759069144566,-107.40199907270262,21.142741274085722,416275.368536617
slab3,molC,nset95,50.8152236147622,7.034149235124545,-95.50964692141864,416275.843067688
slab3,molC,nset96,68.40364098141484,-176.74750207147403,-171.5902967853635,416275.854324958
slab3,molC,nset97,-131.9060521395862,-123.33005617585968,50.70960432424894,416275.778113288
slab3,molC,nset98,49.35270749337349,106.5961181551603,61.39256113080822,416275.966095942
slab3,molC,nset99,-160.02227550645796,39.54924097995078,126.86482573424485,416275.843388585
slab3,molC,nset100,72.20984573095004,-76.94664432848965,-177.81672257716002,416275.528585647
slab2,molA,nset1,14.5945297927112,156.90304721339834,137.57308084349972,289261.053074298
slab2,molA,nset2,-161.65200388357877,-158.02884902730005,39.70531643869552,289260.977687531
slab2,molA,nset3,-104.9211818183213,-43.45395112408562,175.83125869946997,289260.944659774
slab2,molA,nset4,165.24362899453786,-12.308777658956274,-154.47034609218625,289260.805641963
slab2,molA,nset5,-171.18918903263906,-171.72693110800697,-113.18632401873666,289260.966985867
slab2,molA,nset6,-43.36184089525511,128.4767775490829,52.44064672855416,289261.072823743
slab2,molA,nset7,-83.21925649033615,66.52113874029484,-74.98469192627634,289260.630592059
slab2,molA,nset8,99.40984473927216,-23.955944222401,92.71467020532873,289260.841362164
slab2,molA,nset9,-13.194179330432661,137.71318198723867,27.110127848839767,289260.628633646
slab2,molA,nset10,-140.4898762542786,-95.04837591257217,77.8913105726474,289261.010006117
slab2,molA,nset11,148.4673330604279,-25.297083937282025,-132.01090775955265,289260.820925335
slab2,molA,nset12,-43.26737898912461,119.57907980670734,63.53355597591985,289261.071965313
slab2,molA,nset13,-149.03080025061337,172.00945829803857,118.35409022036634,289260.872815246
slab2,molA,nset14,24.032182749650985,-134.94746180961684,83.73323244398239,289261.072548512
slab2,molA,nset15,-52.56120037163302,159.52603239198976,-104.19163806850416,289261.06189848
slab2,molA,nset16,91.52269137868404,-117.58957738730209,90.57500869799088,289260.99032751
slab2,molA,nset17,-76.64933551436184,130.6158032203931,118.89541337585621,289260.940036511
slab2,molA,nset18,-113.97725550278173,-177.5427412986609,-114.29108524135285,289260.822576856
