,Pd_1s
-76.6298,0.0
-76.6198,0.0
-76.60979999999999,0.0
-76.5998,0.0
-76.5898,0.0
-76.57979999999999,0.0
-76.5698,0.0
-76.5598,0.0
-76.54979999999999,0.0
-76.5398,0.0
-76.5298,0.0
-76.51979999999999,0.0
-76.5098,0.0
-76.4998,0.0
-76.4898,0.0
-76.4798,0.0
-76.46979999999999,0.0
-76.4598,0.0
-76.4498,0.0
-76.43979999999999,0.0
-76.4298,0.0
-76.4198,0.0
-76.40979999999999,0.0
-76.3998,0.0
-76.3898,0.0
-76.3798,0.0
-76.3698,0.0
-76.35979999999999,0.0
-76.3498,0.0
-76.3398,0.0
-76.32979999999999,0.0
-76.3198,0.0
-76.3098,0.0
-76.29979999999999,0.0
-76.2898,0.0
-76.2798,0.0
-76.26979999999999,0.0
-76.2598,0.0
-76.2498,0.0
-76.2398,0.0
-76.2298,0.0
-76.21979999999999,0.0
-76.2098,0.0
-76.1998,0.0
-76.18979999999999,0.0
-76.1798,0.0
-76.1698,0.0
-76.15979999999999,0.0
-76.1498,0.0
-76.1398,0.0
-76.1298,0.0
-76.1198,0.0
-76.10979999999999,0.0
-76.0998,0.0
-76.0898,0.0
-76.07979999999999,0.0
-76.0698,0.0
-76.0598,0.0
-76.04979999999999,0.0
-76.0398,0.0
-76.0298,0.0
-76.01979999999999,0.0
-76.0098,0.0
-75.9998,0.0
-75.9898,0.0
-75.9798,0.0
-75.96979999999999,0.0
-75.9598,0.0
-75.9498,0.0
-75.93979999999999,0.0
-75.9298,0.0
-75.9198,0.0
-75.90979999999999,0.0
-75.8998,0.0
-75.8898,0.0
-75.8798,0.0
-75.8698,0.0
-75.85979999999999,0.0
-75.8498,0.0
-75.8398,0.0
-75.82979999999999,0.0
-75.8198,0.0
-75.8098,0.0
-75.79979999999999,0.0
-75.7898,0.0
-75.7798,0.0
-75.76979999999999,0.0
-75.7598,0.0
-75.7498,0.0
-75.7398,0.0
-75.7298,0.0
-75.71979999999999,0.0
-75.7098,0.0
-75.6998,0.0
-75.68979999999999,0.0
-75.6798,0.0
-75.6698,0.0
-75.65979999999999,0.0
-75.6498,0.0
-75.6398,0.0
-75.6298,0.0
-75.6198,0.0
-75.60979999999999,0.0
-75.5998,0.0
-75.5898,0.0
-75.57979999999999,0.0
-75.5698,0.0
-75.5598,0.0
-75.54979999999999,0.0
-75.5398,0.0
-75.5298,0.0
-75.51979999999999,0.0
-75.5098,0.0
-75.4998,0.0
-75.4898,0.0
-75.4798,0.0
-75.46979999999999,0.0
-75.4598,0.0
-75.4498,0.0
-75.43979999999999,0.0
-75.4298,0.0
-75.4198,0.0
-75.40979999999999,0.0
-75.3998,0.0
-75.3898,0.0
-75.3798,0.0
-75.3698,0.0
-75.35979999999999,0.0
-75.3498,0.0
-75.3398,0.0
-75.32979999999999,0.0
-75.3198,0.0
-75.3098,0.0
-75.29979999999999,0.0
-75.2898,0.0
-75.2798,0.0
-75.26979999999999,0.0
-75.2598,0.0
-75.2498,0.0
-75.2398,0.0
-75.2298,0.0
-75.21979999999999,0.0
-75.2098,0.0
-75.1998,0.0
-75.18979999999999,0.0
